date,year,week,ili
2016-10-03,2016,40,1.2019
2016-10-10,2016,41,1.23108
2016-10-17,2016,42,1.26796
2016-10-24,2016,43,1.36298
2016-10-31,2016,44,1.48535
2016-11-07,2016,45,1.55954
2016-11-14,2016,46,1.64783
2016-11-21,2016,47,1.91275
2016-11-28,2016,48,1.81725
2016-12-05,2016,49,1.91433
2016-12-12,2016,50,2.21003
2016-12-19,2016,51,2.73568
2016-12-26,2016,52,3.36832
2017-01-02,2017,1,3.09689
2017-01-09,2017,2,3.07346
2017-01-16,2017,3,3.51643
2017-01-23,2017,4,3.8027
2017-01-30,2017,5,4.50313
2017-02-06,2017,6,5.06308
2017-02-13,2017,7,4.86009
2017-02-20,2017,8,4.57916
2017-02-27,2017,9,3.55674
2017-03-06,2017,10,3.50417
2017-03-13,2017,11,3.21511
2017-03-20,2017,12,3.10088
2017-03-27,2017,13,2.79056
2017-04-03,2017,14,2.38547
2017-04-10,2017,15,1.9703
2017-04-17,2017,16,1.73442
2017-04-24,2017,17,1.56303
2017-05-01,2017,18,1.4128
2017-05-08,2017,19,1.27492
2017-05-15,2017,20,1.2834
2017-05-22,2017,21,1.16663
2017-05-29,2017,22,1.10977
2017-06-05,2017,23,1.04333
2017-06-12,2017,24,0.905151
2017-06-19,2017,25,0.902718
2017-06-26,2017,26,0.859531
2017-07-03,2017,27,0.818998
2017-07-10,2017,28,0.752505
2017-07-17,2017,29,0.731146
2017-07-24,2017,30,0.733295
2017-07-31,2017,31,0.73102
2017-08-07,2017,32,0.68834
2017-08-14,2017,33,0.732049
2017-08-21,2017,34,0.911188
2017-08-28,2017,35,1.02105
2017-09-04,2017,36,1.09495
2017-09-11,2017,37,1.09475
2017-09-18,2017,38,1.09775
2017-09-25,2017,39,1.18882
2017-10-02,2017,40,1.26682
2017-10-09,2017,41,1.30662
2017-10-16,2017,42,1.34866
2017-10-23,2017,43,1.51871
2017-10-30,2017,44,1.74793
2017-11-06,2017,45,1.87047
2017-11-13,2017,46,2.06674
2017-11-20,2017,47,2.28188
2017-11-27,2017,48,2.28528
2017-12-04,2017,49,2.5848
2017-12-11,2017,50,3.36711
2017-12-18,2017,51,4.71836
2017-12-25,2017,52,5.72036
2018-01-01,2018,1,5.77543
2018-01-08,2018,2,5.9083
2018-01-15,2018,3,6.49095
2018-01-22,2018,4,7.17799
2018-01-29,2018,5,7.52851
2018-02-05,2018,6,7.38424
2018-02-12,2018,7,6.46068
2018-02-19,2018,8,4.95341
2018-02-26,2018,9,3.67274
2018-03-05,2018,10,3.2037
2018-03-12,2018,11,2.78869
2018-03-19,2018,12,2.50234
2018-03-26,2018,13,2.41065
2018-04-02,2018,14,2.07542
2018-04-09,2018,15,1.78234
2018-04-16,2018,16,1.61608
2018-04-23,2018,17,1.53992
2018-04-30,2018,18,1.53115
2018-05-07,2018,19,1.29599
2018-05-14,2018,20,1.18904
2018-05-21,2018,21,1.24941
2018-05-28,2018,22,1.14134
2018-06-04,2018,23,0.988567
2018-06-11,2018,24,0.895433
2018-06-18,2018,25,0.892227
2018-06-25,2018,26,0.877636
2018-07-02,2018,27,0.77502
2018-07-09,2018,28,0.725956
2018-07-16,2018,29,0.68266
2018-07-23,2018,30,0.640527
2018-07-30,2018,31,0.64106
2018-08-06,2018,32,0.706465
2018-08-13,2018,33,0.708668
2018-08-20,2018,34,0.825743
2018-08-27,2018,35,0.864409
2018-09-03,2018,36,1.10114
2018-09-10,2018,37,1.15244
2018-09-17,2018,38,1.20257
2018-09-24,2018,39,1.25033
2018-10-01,2018,40,1.41846
2018-10-08,2018,41,1.40418
2018-10-15,2018,42,1.47401
2018-10-22,2018,43,1.64257
2018-10-29,2018,44,1.79275
2018-11-05,2018,45,1.87043
2018-11-12,2018,46,1.98387
2018-11-19,2018,47,2.24169
2018-11-26,2018,48,2.14883
2018-12-03,2018,49,2.25531
2018-12-10,2018,50,2.64571
2018-12-17,2018,51,3.14075
2018-12-24,2018,52,3.97127
2018-12-31,2019,1,3.46125
2019-01-07,2019,2,3.07707
2019-01-14,2019,3,3.32915
2019-01-21,2019,4,3.81999
2019-01-28,2019,5,4.3419
2019-02-04,2019,6,4.88288
2019-02-11,2019,7,5.04211
2019-02-18,2019,8,4.88596
2019-02-25,2019,9,4.5499
2019-03-04,2019,10,4.38001
2019-03-11,2019,11,4.2288
2019-03-18,2019,12,3.68449
2019-03-25,2019,13,3.08744
2019-04-01,2019,14,2.69971
2019-04-08,2019,15,2.28549
2019-04-15,2019,16,2.01443
2019-04-22,2019,17,1.7141
2019-04-29,2019,18,1.56927
2019-05-06,2019,19,1.49991
2019-05-13,2019,20,1.50211
2019-05-20,2019,21,1.42357
2019-05-27,2019,22,1.39457
2019-06-03,2019,23,1.21776
2019-06-10,2019,24,1.11351
2019-06-17,2019,25,0.992293
2019-06-24,2019,26,0.947072
2019-07-01,2019,27,0.876088
2019-07-08,2019,28,0.809956
2019-07-15,2019,29,0.755431
2019-07-22,2019,30,0.73346
2019-07-29,2019,31,0.72729
2019-08-05,2019,32,0.754637
2019-08-12,2019,33,0.730938
2019-08-19,2019,34,0.840615
2019-08-26,2019,35,0.989217
2019-09-02,2019,36,1.14059
2019-09-09,2019,37,1.23272
2019-09-16,2019,38,1.24529
2019-09-23,2019,39,1.33771
2019-09-30,2019,40,1.49064
2019-10-07,2019,41,1.59269
2019-10-14,2019,42,1.72517
2019-10-21,2019,43,1.83428
2019-10-28,2019,44,2.04049
2019-11-04,2019,45,2.39351
2019-11-11,2019,46,2.63245
2019-11-18,2019,47,2.91944
2019-11-25,2019,48,3.41066
2019-12-02,2019,49,3.2622
2019-12-09,2019,50,3.94308
2019-12-16,2019,51,5.06529
2019-12-23,2019,52,7.06161
2019-12-30,2020,1,5.91974
2020-01-06,2020,2,4.94176
2020-01-13,2020,3,5.33174
2020-01-20,2020,4,6.08106
2020-01-27,2020,5,6.74724
2020-02-03,2020,6,6.7998
2020-02-10,2020,7,6.11292
2020-02-17,2020,8,5.55671
2020-02-24,2020,9,5.12279
2020-03-02,2020,10,5.26652
2020-03-09,2020,11,5.67081
2020-03-16,2020,12,6.38029
2020-03-23,2020,13,4.91692
2020-03-30,2020,14,3.78625
2020-04-06,2020,15,2.80122
2020-04-13,2020,16,2.12879
2020-04-20,2020,17,1.73315
2020-04-27,2020,18,1.40932
2020-05-04,2020,19,1.18336
2020-05-11,2020,20,1.11451
2020-05-18,2020,21,1.00534
2020-05-25,2020,22,0.88827
2020-06-01,2020,23,0.814062
2020-06-08,2020,24,0.836751
2020-06-15,2020,25,0.928456
2020-06-22,2020,26,1.14217
2020-06-29,2020,27,1.27401
2020-07-06,2020,28,1.34951
2020-07-13,2020,29,1.34471
2020-07-20,2020,30,1.22153
2020-07-27,2020,31,1.15258
2020-08-03,2020,32,1.0626
2020-08-10,2020,33,0.979884
2020-08-17,2020,34,0.969202
2020-08-24,2020,35,1.00022
2020-08-31,2020,36,0.920817
2020-09-07,2020,37,1.0355
2020-09-14,2020,38,0.974333
2020-09-21,2020,39,1.06462
2020-09-28,2020,40,1.09211
2020-10-05,2020,41,1.21201
2020-10-12,2020,42,1.11151
2020-10-19,2020,43,1.18662
2020-10-26,2020,44,1.25262
2020-11-02,2020,45,1.44427
2020-11-09,2020,46,1.48969
2020-11-16,2020,47,1.56064
2020-11-23,2020,48,1.61944
2020-11-30,2020,49,1.57347
2020-12-07,2020,50,1.51939
2020-12-14,2020,51,1.50599
2020-12-21,2020,52,1.55485
2020-12-28,2020,53,1.58903
2021-01-04,2021,1,1.47519
2021-01-11,2021,2,1.28752
2021-01-18,2021,3,1.25172
2021-01-25,2021,4,1.10177
