date,trends_date,year,week,iso_year,iso_week,ili,flu symptoms,flu,fever,cough,flu test
2016-10-03,2016-10-09,2016,40,2016,40,1.2019,6,67,52,40,0
2016-10-10,2016-10-16,2016,41,2016,41,1.23108,6,62,55,41,0
2016-10-17,2016-10-23,2016,42,2016,42,1.26796,6,58,54,40,0
2016-10-24,2016-10-30,2016,43,2016,43,1.36298,6,54,55,44,0
2016-10-31,2016-11-06,2016,44,2016,44,1.48535,6,44,49,44,0
2016-11-07,2016-11-13,2016,45,2016,45,1.55954,7,47,55,48,0
2016-11-14,2016-11-20,2016,46,2016,46,1.64783,6,40,51,48,0
2016-11-21,2016-11-27,2016,47,2016,47,1.91275,7,43,54,48,0
2016-11-28,2016-12-04,2016,48,2016,48,1.81725,7,46,54,51,0
2016-12-05,2016-12-11,2016,49,2016,49,1.91433,7,46,57,52,0
2016-12-12,2016-12-18,2016,50,2016,50,2.21003,8,54,62,59,1
2016-12-19,2016-12-25,2016,51,2016,51,2.73568,12,66,66,64,1
2016-12-26,2017-01-01,2016,52,2016,52,3.36832,13,71,66,66,1
2017-01-02,2017-01-08,2017,1,2017,1,3.09689,12,71,67,56,1
2017-01-09,2017-01-15,2017,2,2017,2,3.07346,14,69,68,56,1
2017-01-16,2017-01-22,2017,3,2017,3,3.51643,13,70,68,54,1
2017-01-23,2017-01-29,2017,4,2017,4,3.8027,16,82,83,55,1
2017-01-30,2017-02-05,2017,5,2017,5,4.50313,21,100,80,61,1
2017-02-06,2017-02-12,2017,6,2017,6,5.06308,21,98,78,58,1
2017-02-13,2017-02-19,2017,7,2017,7,4.86009,18,87,80,58,1
2017-02-20,2017-02-26,2017,8,2017,8,4.57916,13,64,66,49,1
2017-02-27,2017-03-05,2017,9,2017,9,3.55674,12,60,67,50,1
2017-03-06,2017-03-12,2017,10,2017,10,3.50417,10,54,68,48,1
2017-03-13,2017-03-19,2017,11,2017,11,3.21511,11,51,77,49,1
2017-03-20,2017-03-26,2017,12,2017,12,3.10088,8,51,71,48,1
2017-03-27,2017-04-02,2017,13,2017,13,2.79056,7,43,65,47,1
2017-04-03,2017-04-09,2017,14,2017,14,2.38547,6,36,64,44,0
