date,flu symptoms,flu,fever,cough,flu test
2016-09-25,6,60,53,39,0
2016-10-02,6,68,52,39,0
2016-10-09,6,67,52,40,0
2016-10-16,6,62,55,41,0
2016-10-23,6,58,54,40,0
2016-10-30,6,54,55,44,0
2016-11-06,6,44,49,44,0
2016-11-13,7,47,55,48,0
2016-11-20,6,40,51,48,0
2016-11-27,7,43,54,48,0
2016-12-04,7,46,54,51,0
2016-12-11,7,46,57,52,0
2016-12-18,8,54,62,59,1
2016-12-25,12,66,66,64,1
2017-01-01,13,71,66,66,1
2017-01-08,12,71,67,56,1
2017-01-15,14,69,68,56,1
2017-01-22,13,70,68,54,1
2017-01-29,16,82,83,55,1
2017-02-05,21,100,80,61,1
2017-02-12,21,98,78,58,1
2017-02-19,18,87,80,58,1
2017-02-26,13,64,66,49,1
2017-03-05,12,60,67,50,1
2017-03-12,10,54,68,48,1
2017-03-19,11,51,77,49,1
2017-03-26,8,51,71,48,1
2017-04-02,7,43,65,47,1
2017-04-09,6,36,64,44,0
2017-04-16,5,31,66,43,0
2017-04-23,5,28,60,39,0
2017-04-30,4,24,60,39,0
2017-05-07,4,24,61,40,0
2017-05-14,4,23,59,40,0
2017-05-21,4,20,57,38,0
2017-05-28,3,23,58,39,0
2017-06-04,4,20,59,37,0
2017-06-11,3,20,58,35,0
2017-06-18,3,17,55,33,0
2017-06-25,3,17,55,31,0
2017-07-02,3,15,56,31,0
2017-07-09,3,16,53,29,0
2017-07-16,3,16,53,30,0
2017-07-23,3,16,54,29,0
2017-07-30,3,17,52,30,0
2017-08-06,3,18,51,29,0
2017-08-13,3,20,52,30,0
2017-08-20,3,23,51,31,0
2017-08-27,3,27,66,34,0
2017-09-03,4,32,64,37,0
2017-09-10,4,42,58,38,0
2017-09-17,6,51,56,40,0
2017-09-24,6,64,56,41,1
2017-10-01,6,70,54,42,1
2017-10-08,2,17,14,10,0
2017-10-15,2,17,14,11,0
2017-10-22,2,17,15,11,0
2017-10-29,2,16,14,12,0
2017-11-05,2,16,15,13,0
2017-11-12,2,15,16,14,0
2017-11-19,2,13,15,15,0
2017-11-26,3,15,16,14,0
2017-12-03,3,18,16,14,0
2017-12-10,4,20,17,15,0
2017-12-17,6,28,21,18,0
2017-12-24,8,37,22,21,0
