keyword,lag_weeks,correlation
flu symptoms,0,0.7376194649184467
flu symptoms,1,0.7517159816233056
flu symptoms,2,0.7165383623413223
flu symptoms,3,0.6515888757491168
flu symptoms,4,0.5796609860967625
flu symptoms,5,0.5053872423626434
flu symptoms,6,0.4280043556491827
flu symptoms,7,0.3481091380394828
flu symptoms,8,0.26644635899078284
flu,0,0.6256577067830058
flu,1,0.6448193959319023
flu,2,0.6178278956918306
flu,3,0.5637538637204371
flu,4,0.5068635620544604
flu,5,0.4509784719185862
flu,6,0.3955605139840262
flu,7,0.33933412396865387
flu,8,0.27960113324289515
fever,0,0.06161049057205319
fever,1,0.0633798815690667
fever,2,0.03867119961271921
fever,3,0.00047305408740318526
fever,4,-0.03585569021768183
fever,5,-0.06490801333957104
fever,6,-0.08797945616707004
fever,7,-0.10736590089384089
fever,8,-0.12502896941797564
cough,0,0.31854808025222797
cough,1,0.33344198896229793
cough,2,0.3209640220778649
cough,3,0.2998084283408874
cough,4,0.28189723348044343
cough,5,0.26732177370959287
cough,6,0.24943718692925917
cough,7,0.22517975866628104
cough,8,0.1961146253224376
flu test,0,0.6792094992307292
flu test,1,0.6762208005499858
flu test,2,0.6269369934563789
flu test,3,0.5574421410637416
flu test,4,0.4909067639655874
flu test,5,0.42470668351416413
flu test,6,0.36175284930578816
flu test,7,0.2994643453960266
flu test,8,0.23868253388679941
